,J,J,J,J,J,J,J,J,J,J,J,J,J,o,o,o,o,o,o,o,o,o,o,o,o,o,g,g,g,g,g,g,g,g,g,g,g,g,g,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,o,o,o,o,o,o,o,o,o,o,o,o,r,r,r,r,r,r,r,r,r,r,r,r
,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador
19,  ,6,540.0,2.3,1,0.3,-,0.3,1.3,0.3,-,7.01,"Victor SáBotafogo RJ, 28, AM(CLR)",  ,17(1),1520.0,1.6,0.5,0.7,-,0.6,0.7,0.2,-,7.04,"EdenílsonInternacional, 32, D(R),M(CLR)",  ,8,687.0,-,1,0.6,2.4,0.5,0.5,0.3,0.6,1.1,7.23,"AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,6,540.0,1,-,1.2,2.2,2,1.2,-,1.2,2.5,7.01,"Victor SáBotafogo RJ, 28, AM(CLR)",  ,17(1),1520.0,4,3,1.5,1.7,0.8,0.8,0.1,0.6,1.2,7.04,"EdenílsonInternacional, 32, D(R),M(CLR)",  ,8,687.0,1,2.4,34.3,75.5,2.3,1.6,0.1,7.23,"AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,6,540.0,-,2.2,29.0,81.0,0.7,1,0.2,7.01,"Victor SáBotafogo RJ, 28, AM(CLR)"
20,  ,6,485.0,2,1,1.5,-,0.8,2.5,-,-,7.01,"Matías ZarachoAtletico MG, 24, M(CR)",  ,20(1),1773.0,1.1,1.8,0.7,0.6,4.6,0.3,1,-,7.03,"Marcelo BenevenutoFortaleza, 26, D(C)",,,,,,,,,,,,,,Erro:502,  ,6,485.0,2,-,2.7,1.7,0.2,1.2,-,0.3,2.2,7.01,"Matías ZarachoAtletico MG, 24, M(CR)",  ,20(1),1773.0,-,1,0.6,0.2,0.3,0.8,-,0.1,0.4,7.03,"Marcelo BenevenutoFortaleza, 26, D(C)",,,,,,,,,,,,Erro:502,  ,6,485.0,-,1.7,45.3,86.0,-,1.5,0.2,7.01,"Matías ZarachoAtletico MG, 24, M(CR)"
21,  ,10,900.0,-,-,-,-,0.4,0.1,-,-,7.0,"WevertonPalmeiras, 34, GK",  ,17(4),1654.0,0.4,0.1,1.3,-,1,0.3,-,-,7.03,"Jonathan CalleriSao Paulo, 28, FW",  ,8,714.0,3,2,2.1,1.9,0.9,0.6,0.1,0.8,1.4,7.23,"EdenílsonInternacional, 32, D(R),M(CLR)",  ,10,900.0,-,-,-,-,-,0.1,-,-,0.1,7.0,"WevertonPalmeiras, 34, GK",  ,17(4),1654.0,11,1,2.6,0.6,0.8,1.8,0.8,0.9,2.6,7.03,"Jonathan CalleriSao Paulo, 28, FW",  ,8,714.0,2,1.9,42.0,86.9,1.4,1.4,0.1,7.23,"EdenílsonInternacional, 32, D(R),M(CLR)",  ,10,900.0,-,-,28.4,70.4,-,3.8,-,7.0,"WevertonPalmeiras, 34, GK"
22,,,,,,,,,,,,,Erro:502,  ,15(2),1346.0,2.2,0.9,1.4,0.2,1.5,0.8,0.4,-,7.03,"AyrtonFlamengo, 25, D(L),M(L)",  ,7(1),643.0,-,-,0.8,2.3,1.5,0.1,0.1,1,1.5,7.21,"Lucas PiresSantos FC, 21, D(L)",,,,,,,,,,,,,,Erro:502,  ,15(2),1346.0,2,2,0.5,0.6,1.2,1.8,-,1.4,0.9,7.03,"AyrtonFlamengo, 25, D(L),M(L)",  ,7(1),643.0,-,2.3,35.9,74.2,2.6,1.9,-,7.21,"Lucas PiresSantos FC, 21, D(L)",,,,,,,,,,,,Erro:502
23,,,,,,,,,,,,,Erro:502,  ,10(4),834.0,1.1,0.6,0.4,-,0.2,0.3,0.1,-,7.03,"WillianCorinthians, 34, AM(CLR)",  ,9,759.0,2,3,1.8,2.7,0.4,2.1,-,0.9,0.8,7.2,"Ignacio FernándezAtletico MG, 32, M(CLR)",,,,,,,,,,,,,,Erro:502,  ,10(4),834.0,-,2,1,1.2,2.5,2.1,0.1,0.9,1.4,7.03,"WillianCorinthians, 34, AM(CLR)",  ,9,759.0,3,2.7,48.1,83.8,2.3,1.8,-,7.2,"Ignacio FernándezAtletico MG, 32, M(CLR)",,,,,,,,,,,,Erro:502
24,  ,4(1),405.0,2,0.8,0.4,0.4,2.6,0.8,0.2,-,7.0,"RenêInternacional, 29, D(L)",  ,14(1),1292.0,1.2,0.7,0.7,0.5,3.9,0.5,1.3,-,7.02,"Léo OrtizRed Bull Bragantino, 26, D(C)",  ,11,990.0,-,-,-,-,0.1,0.2,-,-,0.1,7.2,"João PauloSantos FC, 27, GK",  ,4(1),405.0,-,-,-,0.6,1.6,0.4,-,0.4,1.2,7.0,"RenêInternacional, 29, D(L)",  ,14(1),1292.0,1,-,0.4,0.3,0.6,0.5,0.1,0.1,0.4,7.02,"Léo OrtizRed Bull Bragantino, 26, D(C)",  ,11,990.0,-,-,21.4,65.1,-,4.3,-,7.2,"João PauloSantos FC, 27, GK",  ,4(1),405.0,-,0.6,48.4,80.2,0.4,2.2,-,7.0,"RenêInternacional, 29, D(L)"
25,  ,9(1),834.0,0.3,0.8,0.3,-,0.2,0.7,-,-,7.0,"Igor PaixãoCoritiba, 22, AM(L)",  ,17,1479.0,1.2,1.2,0.9,0.4,3.5,0.4,0.6,-,7.01,"NinoFluminense, 25, D(C)",  ,10,867.0,-,-,1.2,0.3,0.1,0.9,-,0.1,0.5,7.19,"Marcelo BenevenutoFortaleza, 26, D(C)",  ,9(1),834.0,3,1,2.3,1.8,2.7,2.2,-,1.5,2.2,7.0,"Igor PaixãoCoritiba, 22, AM(L)",  ,17,1479.0,-,-,0.5,0.4,0.5,1.5,0.1,0.3,0.4,7.01,"NinoFluminense, 25, D(C)",  ,10,867.0,-,0.3,36.7,81.2,-,2.7,-,7.19,"Marcelo BenevenutoFortaleza, 26, D(C)",  ,9(1),834.0,1,1.8,23.9,80.8,0.8,1.2,-,7.0,"Igor PaixãoCoritiba, 22, AM(L)"
26,  ,9,810.0,0.2,-,-,-,1.2,0.1,-,-,7.0,"Roberto FernándezBotafogo RJ, 34, GK",  ,14(7),1285.0,1.4,0.7,1,-,0.2,1,0.1,-,7.0,"Éverton RibeiroFlamengo, 33, AM(CLR)",  ,9(1),826.0,4,2,3.4,2,1.9,2.1,0.8,1.8,3.6,7.19,"HulkAtletico MG, 36, AM(CLR),FW",  ,9,810.0,-,-,-,-,-,0.2,-,-,0.1,7.0,"Roberto FernándezBotafogo RJ, 34, GK",  ,14(7),1285.0,2,4,1,1.1,1.7,2.1,-,1,1.7,7.0,"Éverton RibeiroFlamengo, 33, AM(CLR)",  ,9(1),826.0,2,2,23.7,71.7,0.1,0.6,0.1,7.19,"HulkAtletico MG, 36, AM(CLR),FW",  ,9,810.0,-,-,26.7,65.8,-,5.7,-,7.0,"Roberto FernándezBotafogo RJ, 34, GK"
27,  ,9,637.0,1.7,0.1,0.9,-,1,1.1,0.1,-,6.99,"JorginhoAtletico GO, 31, AM(CL)",  ,17(3),1515.0,1,1.4,0.9,0.1,1,0.7,0.1,-,7.0,"Carlos de PenaInternacional, 30, AM(CL)",  ,10,896.0,-,1,1,0.9,2.5,1.9,-,1.2,1.1,7.18,"AndréFluminense, 21, DMC",  ,9,637.0,2,-,1.6,1.9,1.8,1,0.2,0.4,1.7,6.99,"JorginhoAtletico GO, 31, AM(CL)",  ,17(3),1515.0,3,4,2.1,1.6,0.5,0.7,-,0.6,0.9,7.0,"Carlos de PenaInternacional, 30, AM(CL)",  ,10,896.0,1,0.9,67.3,92.1,0.2,3.1,0.2,7.18,"AndréFluminense, 21, DMC",  ,9,637.0,-,1.9,38.7,85.1,0.7,3,0.3,6.99,"JorginhoAtletico GO, 31, AM(CL)"
28,  ,9,759.0,1.7,1.1,0.9,0.1,3.7,0.3,0.6,-,6.98,"NinoFluminense, 25, D(C)",  ,22,1980.0,-,0.1,-,-,1,-,-,-,7.0,"TadeuGoias, 30, GK",  ,4(3),479.0,-,2,0.6,1.3,0.7,0.7,-,-,1,7.18,"EgídioCoritiba, 36, D(L)",  ,9,759.0,-,-,0.2,0.3,0.4,1.2,-,0.2,0.2,6.98,"NinoFluminense, 25, D(C)",  ,22,1980.0,-,-,-,0.1,-,0.5,-,-,-,7.0,"TadeuGoias, 30, GK",  ,4(3),479.0,2,1.3,30.6,79.0,1.4,1,-,7.18,"EgídioCoritiba, 36, D(L)",  ,9,759.0,-,0.3,56.2,89.9,-,3.3,-,6.98,"NinoFluminense, 25, D(C)"
29,  ,8(1),726.0,0.8,0.4,0.7,-,0.4,0.8,0.2,-,6.97,"ArturRed Bull Bragantino, 24, AM(LR)",  ,13(1),954.0,0.5,0.1,0.9,-,0.1,0.5,-,-,7.0,"WandersonInternacional, 27, AM(LR),FW",  ,6(1),533.0,3,1,3,1.6,0.7,1,-,0.7,1.7,7.18,"Rodrigo NestorSao Paulo, 22, DMC",  ,8(1),726.0,2,2,2,2.8,0.8,0.7,0.2,0.6,2,6.97,"ArturRed Bull Bragantino, 24, AM(LR)",  ,13(1),954.0,5,1,1.4,0.8,2.1,0.7,0.1,0.6,1.5,7.0,"WandersonInternacional, 27, AM(LR),FW",  ,6(1),533.0,1,1.6,29.0,80.3,0.4,0.7,-,7.18,"Rodrigo NestorSao Paulo, 22, DMC",  ,8(1),726.0,2,2.8,28.6,80.5,1.3,0.3,-,6.97,"ArturRed Bull Bragantino, 24, AM(LR)"
30,  ,6,461.0,1.3,0.2,1.7,-,0.3,1.2,-,-,6.97,"Jhon AriasFluminense, 24, AM(CL)",  ,17(1),1434.0,0.3,0.7,0.4,-,0.2,0.8,-,-,7.0,"VinaCeara, 31, M(CR),FW",  ,3(2),280.0,-,1,0.6,1,2,0.2,-,0.6,1.2,7.17,"RodineiFlamengo, 30, D(R)",  ,6,461.0,2,-,1.7,0.8,3,0.7,-,2.8,3.5,6.97,"Jhon AriasFluminense, 24, AM(CL)",  ,17(1),1434.0,2,2,2.1,3.1,0.7,1.6,0.2,0.6,0.9,7.0,"VinaCeara, 31, M(CR),FW",  ,3(2),280.0,1,1,26.8,84.3,0.6,-,-,7.17,"RodineiFlamengo, 30, D(R)",  ,6,461.0,-,0.8,44.3,89.8,0.5,0.2,-,6.97,"Jhon AriasFluminense, 24, AM(CL)"
31,  ,10,864.0,2.5,0.9,1.3,0.1,0.7,1.3,-,-,6.97,"Zé RafaelPalmeiras, 29, M(CLR)",  ,15,1276.0,1.1,1.4,0.3,0.1,4.9,0.7,1.2,-,7.0,"MaiconSantos FC, 33, D(C)",  ,5(5),563.0,3,-,1.2,0.7,2.2,1.3,-,0.8,2.5,7.17,"AdsonCorinthians, 21, AM(LR)",  ,10,864.0,1,-,1.8,0.6,1.1,2.2,-,1.8,1.6,6.97,"Zé RafaelPalmeiras, 29, M(CLR)",  ,15,1276.0,-,2,0.7,0.5,0.1,0.4,0.1,0.1,0.1,7.0,"MaiconSantos FC, 33, D(C)",  ,5(5),563.0,-,0.7,31.3,83.7,0.2,0.2,0.1,7.17,"AdsonCorinthians, 21, AM(LR)",  ,10,864.0,-,0.6,39.4,87.6,-,1.7,-,6.97,"Zé RafaelPalmeiras, 29, M(CLR)"
32,  ,10(1),905.0,2.5,1.3,1.9,0.2,2.3,1.5,0.2,-,6.97,"Juninho CapixabaFortaleza, 25, D(L),M(L)",,,,,,,,,,,,,Erro:502,  ,9,810.0,5,-,1.3,0.1,-,0.4,0.2,-,0.1,7.17,"Gustavo GómezPalmeiras, 29, D(C)",  ,10(1),905.0,-,1,0.4,1.5,1.2,1.3,-,1.4,1.9,6.97,"Juninho CapixabaFortaleza, 25, D(L),M(L)",,,,,,,,,,,,,,Erro:502,  ,9,810.0,-,0.1,50.0,86.0,-,3.7,-,7.17,"Gustavo GómezPalmeiras, 29, D(C)",  ,10(1),905.0,1,1.5,38.3,73.6,0.6,1.5,-,6.97,"Juninho CapixabaFortaleza, 25, D(L),M(L)"
33,  ,10,900.0,0.1,0.1,-,-,1.7,-,-,-,6.96,"WalterCuiaba, 34, GK",  ,21(1),1775.0,0.4,0.1,0.7,-,0.5,0.5,0.1,-,6.99,"Germán CanoFluminense, 34, FW",  ,8,720.0,2,1,0.5,0.5,0.4,0.3,-,-,0.8,7.16,"Víctor CuestaBotafogo RJ, 33, D(C)",  ,10,900.0,-,-,-,-,-,0.2,-,-,-,6.96,"WalterCuiaba, 34, GK",  ,21(1),1775.0,13,2,3.2,0.6,0.1,0.4,0.6,0.5,0.8,6.99,"Germán CanoFluminense, 34, FW",  ,8,720.0,1,0.5,48.5,80.2,0.1,1.8,-,7.16,"Víctor CuestaBotafogo RJ, 33, D(C)",  ,10,900.0,-,-,24.9,67.1,-,7.5,-,6.96,"WalterCuiaba, 34, GK"
34,,,,,,,,,,,,,Erro:502,  ,17,1446.0,2.6,1.5,2.5,0.1,0.8,1.6,0.4,-,6.99,"AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,6(1),535.0,-,1,1,1,1.3,1,-,0.9,0.9,7.15,"MarlonAmerica MG, 28, D(L)",,,,,,,,,,,,,,Erro:502,  ,17,1446.0,-,1,0.4,1.9,0.5,0.5,0.1,0.5,1.3,6.99,"AderlanRed Bull Bragantino, 31, D(R),M(R)",  ,6(1),535.0,1,1,33.1,80.2,0.7,1.3,-,7.15,"MarlonAmerica MG, 28, D(L)",,,,,,,,,,,,Erro:502
35,  ,10(1),802.0,0.5,0.9,0.6,-,0.3,0.3,0.1,-,6.96,"DuduPalmeiras, 30, AM(CLR),FW",  ,16(1),1432.0,1.7,1.8,0.8,0.4,4.4,0.5,0.9,-,6.98,"Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8,720.0,2,1,0.8,0.5,0.8,0.6,0.1,-,0.3,7.14,"NatanRed Bull Bragantino, 21, D(C)",  ,10(1),802.0,2,1,1.6,2.1,1.5,1.6,0.3,0.6,1.6,6.96,"DuduPalmeiras, 30, AM(CLR),FW",  ,16(1),1432.0,-,-,0.3,0.4,-,1.1,-,0.1,0.4,6.98,"Pedro HenriqueAthletico Paranaense, 26, D(C)",  ,8,720.0,1,0.5,47.4,89.7,-,5.1,-,7.14,"NatanRed Bull Bragantino, 21, D(C)",  ,10(1),802.0,1,2.1,31.1,81.3,0.1,1.4,-,6.96,"DuduPalmeiras, 30, AM(CLR),FW"
36,  ,4(4),393.0,0.8,0.6,0.6,-,-,-,-,-,6.95,"Vitor RoqueAthletico Paranaense, 17, FW",  ,21,1890.0,0.1,-,-,-,1.2,-,-,-,6.98,"João PauloSantos FC, 27, GK",  ,9,810.0,-,-,0.8,0.6,0.2,0.9,-,0.4,0.3,7.14,"GabrielInternacional, 30, DMC",  ,4(4),393.0,4,1,1.8,0.4,1,2.3,0.1,0.8,2.1,6.95,"Vitor RoqueAthletico Paranaense, 17, FW",  ,21,1890.0,-,-,-,-,-,0.2,-,-,-,6.98,"João PauloSantos FC, 27, GK",  ,9,810.0,-,0.6,60.3,89.5,0.3,3.6,-,7.14,"GabrielInternacional, 30, DMC",  ,4(4),393.0,1,0.4,4.5,63.9,-,0.1,-,6.95,"Vitor RoqueAthletico Paranaense, 17, FW"
37,  ,11,990.0,2.3,1.6,0.9,0.5,4.9,0.3,1,-,6.95,"MarllonCuiaba, 30, D(C)",  ,17(1),1521.0,0.3,0.1,1.7,-,0.4,0.5,-,-,6.98,"HulkAtletico MG, 36, AM(CLR),FW",  ,5(4),468.0,3,3,1.1,0.9,1.8,1.4,0.1,1.6,2.7,7.14,"AlemãoInternacional, 24, FW",  ,11,990.0,-,-,0.7,0.1,0.4,0.3,0.1,0.4,0.5,6.95,"MarllonCuiaba, 30, D(C)",  ,17(1),1521.0,7,2,3.4,1.6,2.1,2.2,0.8,2.4,3.3,6.98,"HulkAtletico MG, 36, AM(CLR),FW",  ,5(4),468.0,3,0.9,12.2,70.9,0.2,0.2,-,7.14,"AlemãoInternacional, 24, FW",  ,11,990.0,-,0.1,37.2,85.6,-,2.5,-,6.95,"MarllonCuiaba, 30, D(C)"
38,  ,8,720.0,1.8,0.3,0.5,0.8,5.1,0.5,1,-,6.94,"VitãoInternacional, 22, D(C)",  ,21(1),1621.0,0.4,0.7,0.5,-,0.1,0.5,-,-,6.98,"DuduPalmeiras, 30, AM(CLR),FW",  ,10,888.0,-,-,1.1,0.4,0.5,0.3,0.1,-,-,7.11,"MuriloPalmeiras, 25, D(C),DMC",  ,8,720.0,1,-,0.5,-,-,0.3,-,0.1,-,6.94,"VitãoInternacional, 22, D(C)",  ,21(1),1621.0,4,3,1.7,1.9,1.5,1.7,0.2,0.7,1.5,6.98,"DuduPalmeiras, 30, AM(CLR),FW",  ,10,888.0,-,0.4,48.3,89.2,-,3.6,-,7.11,"MuriloPalmeiras, 25, D(C),DMC",  ,8,720.0,-,-,42.4,82.3,-,2,-,6.94,"VitãoInternacional, 22, D(C)"
39,  ,6(3),620.0,0.9,0.9,1.1,-,1,0.6,-,-,6.93,"Carlos de PenaInternacional, 30, AM(CL)",  ,19(1),1549.0,0.5,0.2,1.5,-,0.9,0.6,0.1,-,6.98,"Pedro RaúlGoias, 25, FW",  ,9,701.0,2,1,1.7,3.2,1,1,0.2,0.9,0.7,7.1,"VinaCeara, 31, M(CR),FW",  ,6(3),620.0,2,2,2.3,1.6,0.4,0.7,-,0.7,0.9,6.93,"Carlos de PenaInternacional, 30, AM(CL)",  ,19(1),1549.0,11,1,2.7,0.8,0.6,0.9,0.6,1.2,2.7,6.98,"Pedro RaúlGoias, 25, FW",  ,9,701.0,1,3.2,31.4,76.7,1.8,1.9,0.1,7.1,"VinaCeara, 31, M(CR),FW",  ,6(3),620.0,2,1.6,36.6,73.9,1,1.6,-,6.93,"Carlos de PenaInternacional, 30, AM(CL)"
40,  ,9,810.0,0.7,1.3,0.9,0.7,6.3,0.1,0.9,-,6.93,"MessiasCeara, 27, D(C)",  ,18,1379.0,1.3,0.2,0.6,-,1,0.9,0.1,-,6.98,"JorginhoAtletico GO, 31, AM(CL)",,,,,,,,,,,,,,Erro:502,  ,9,810.0,-,-,0.6,0.6,-,-,-,0.1,0.1,6.93,"MessiasCeara, 27, D(C)",  ,18,1379.0,3,-,1.7,1.8,1.9,1.2,0.3,0.9,1.8,6.98,"JorginhoAtletico GO, 31, AM(CL)",,,,,,,,,,,,Erro:502,  ,9,810.0,-,0.6,26.7,78.3,-,0.8,-,6.93,"MessiasCeara, 27, D(C)"
41,  ,5(3),456.0,0.4,0.3,2.1,-,0.8,1.1,0.3,-,6.92,"RobsonFortaleza, 31, AM(LR),FW",  ,19,1378.0,1.3,0.2,0.6,-,0.2,0.9,0.1,-,6.97,"GansoFluminense, 32, AM(C)",  ,5,450.0,-,-,0.6,0.2,0.4,1,0.2,-,0.4,7.1,"Luiz OtávioCeara, 33, D(C)",  ,5(3),456.0,3,2,1.5,1,0.6,1.8,0.8,1,1.6,6.92,"RobsonFortaleza, 31, AM(LR),FW",  ,19,1378.0,3,3,0.7,2.1,1.1,1.6,-,0.8,0.7,6.97,"GansoFluminense, 32, AM(C)",  ,5,450.0,-,0.2,43.8,85.8,-,1.8,-,7.1,"Luiz OtávioCeara, 33, D(C)",  ,5(3),456.0,2,1,12.6,64.4,0.1,1.3,-,6.92,"RobsonFortaleza, 31, AM(LR),FW"
42,  ,8(1),714.0,0.3,0.1,1.6,-,0.6,0.4,-,-,6.92,"ErisonBotafogo RJ, 23, FW",  ,19,1710.0,0.6,1.5,0.4,0.4,4.9,0.2,1.2,-,6.96,"Eduardo BauermannSantos FC, 26, D(C)",  ,7,630.0,-,2,0.9,0.7,0.1,0.6,0.1,-,-,7.1,"MaiconSantos FC, 33, D(C)",  ,8(1),714.0,5,1,2.8,0.8,1,1,0.8,1.3,3.6,6.92,"ErisonBotafogo RJ, 23, FW",  ,19,1710.0,1,1,0.6,0.1,0.3,0.6,0.1,-,0.2,6.96,"Eduardo BauermannSantos FC, 26, D(C)",  ,7,630.0,2,0.7,41.3,77.9,-,5,-,7.1,"MaiconSantos FC, 33, D(C)",  ,8(1),714.0,1,0.8,11.0,67.7,-,-,-,6.92,"ErisonBotafogo RJ, 23, FW"
43,  ,8,681.0,1.1,1.3,1.4,-,0.8,1.9,1,-,6.91,"AndréFluminense, 21, DMC",,,,,,,,,,,,,Erro:502,  ,4(4),487.0,1,-,1.4,0.3,1.1,1.4,-,0.6,1.5,7.1,"RubensAtletico MG, 21, D(L)",  ,8,681.0,1,-,0.5,0.9,2.3,1.5,-,0.6,1,6.91,"AndréFluminense, 21, DMC",,,,,,,,,,,,,,Erro:502,  ,4(4),487.0,-,0.3,23.5,80.3,0.4,0.5,-,7.1,"RubensAtletico MG, 21, D(L)",  ,8,681.0,-,0.9,66.0,90.7,0.1,1.9,0.1,6.91,"AndréFluminense, 21, DMC"
44,  ,8,646.0,1,1.3,0.3,0.1,5.5,0.6,1.3,-,6.91,"MaiconSantos FC, 33, D(C)",  ,11(2),989.0,0.7,1.3,0.8,0.1,2.2,0.2,0.4,-,6.96,"Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,8,720.0,3,-,2.6,2.1,1.1,2.8,0.1,1,0.9,7.09,"Yago PikachuFortaleza, 30, D(R),M(CLR)",  ,8,646.0,-,-,0.5,0.3,0.1,0.3,-,0.3,0.3,6.91,"MaiconSantos FC, 33, D(C)",  ,11(2),989.0,-,-,0.5,1.2,1.2,1,0.1,0.7,0.5,6.96,"Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,8,720.0,-,2.1,35.9,82.2,1.1,2.5,-,7.09,"Yago PikachuFortaleza, 30, D(R),M(CLR)",  ,8,646.0,-,0.3,44.9,86.6,0.3,5.4,-,6.91,"MaiconSantos FC, 33, D(C)"
45,,,,,,,,,,,,,Erro:502,  ,17(2),1418.0,1.4,0.6,0.5,0.1,0.4,2,-,-,6.96,"Ignacio FernándezAtletico MG, 32, M(CLR)",  ,8(1),694.0,1,-,1.7,1.4,1.1,2.1,0.2,0.9,1,7.09,"Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",,,,,,,,,,,,,,Erro:502,  ,17(2),1418.0,3,5,1.5,2.3,0.5,1.8,0.1,1.1,1.6,6.96,"Ignacio FernándezAtletico MG, 32, M(CLR)",  ,8(1),694.0,-,1.4,34.6,83.6,0.4,1.2,0.1,7.09,"Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",,,,,,,,,,,,Erro:502
46,  ,7(2),642.0,0.6,1.4,0.6,-,1.9,0.2,0.3,-,6.9,"Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,20,1679.0,2,1.3,1.3,0.1,2.5,1.4,0.9,-,6.95,"RanieleAvai FC, 25, DMC",  ,10,826.0,4,2,3.3,1,1.1,2.8,0.6,1,2.1,7.08,"Marcos LeonardoSantos FC, 19, FW",  ,7(2),642.0,-,-,0.4,1,0.9,1.3,0.1,0.7,0.2,6.9,"Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,20,1679.0,1,-,1,0.3,1.3,2.5,-,0.8,1.4,6.95,"RanieleAvai FC, 25, DMC",  ,10,826.0,2,1,9.9,75.8,0.1,0.2,-,7.08,"Marcos LeonardoSantos FC, 19, FW",  ,7(2),642.0,-,1,43.6,83.7,1.2,2.3,-,6.9,"Felipe JonatanSantos FC, 24, D(L),M(CL)"
47,  ,2(4),242.0,0.3,0.5,0.8,-,0.5,0.2,0.2,-,6.9,"AlerrandroRed Bull Bragantino, 22, FW",  ,16(1),1151.0,1.2,0.4,1,0.1,0.9,1,0.2,1,6.95,"Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,11,990.0,3,2,1.5,1.5,0.5,0.2,0.2,0.3,0.8,7.07,"Marlon FreitasAtletico GO, 27, DMC",  ,2(4),242.0,3,-,2.3,0.2,0.7,0.8,-,0.5,0.5,6.9,"AlerrandroRed Bull Bragantino, 22, FW",  ,16(1),1151.0,5,1,2.2,0.9,1.1,1.9,0.1,1.2,1.3,6.95,"Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,11,990.0,2,1.5,67.1,85.0,0.4,8.8,0.1,7.07,"Marlon FreitasAtletico GO, 27, DMC",  ,2(4),242.0,-,0.2,7.0,83.3,-,-,-,6.9,"AlerrandroRed Bull Bragantino, 22, FW"
48,  ,6(2),500.0,0.4,0.4,0.9,-,0.4,0.5,0.1,-,6.89,"LucianoSao Paulo, 29, AM(CR),FW",  ,14(1),1265.0,2.3,1.1,0.9,0.2,1.7,0.9,0.4,-,6.94,"MatheuzinhoFlamengo, 21, D(R)",  ,5(1),363.0,-,-,1.3,-,0.2,0.8,-,-,0.5,7.07,"Rodrigo MoledoInternacional, 34, D(C)",  ,6(2),500.0,4,1,2.3,0.3,1.1,1.1,0.4,1,1.1,6.89,"LucianoSao Paulo, 29, AM(CR),FW",  ,14(1),1265.0,-,2,0.4,1.1,0.9,0.3,-,0.3,1,6.94,"MatheuzinhoFlamengo, 21, D(R)",  ,5(1),363.0,-,-,29.7,89.3,-,0.5,-,7.07,"Rodrigo MoledoInternacional, 34, D(C)",  ,6(2),500.0,1,0.3,22.8,83.0,-,1,-,6.89,"LucianoSao Paulo, 29, AM(CR),FW"
49,  ,8(1),733.0,0.3,0.8,0.2,-,0.4,0.7,-,-,6.89,"VinaCeara, 31, M(CR),FW",  ,20(1),1652.0,2.1,0.8,1.3,-,0.5,1.6,0.1,-,6.94,"Zé RafaelPalmeiras, 29, M(CLR)",  ,6,476.0,-,-,0.2,1.5,0.7,0.5,-,0.5,0.2,7.07,"Marcos RochaPalmeiras, 33, D(R),M(R)",  ,8(1),733.0,-,1,2.6,2.9,0.3,2.1,0.2,0.3,1.1,6.89,"VinaCeara, 31, M(CR),FW",  ,20(1),1652.0,3,1,1.6,0.8,1,2,-,1.8,1.4,6.94,"Zé RafaelPalmeiras, 29, M(CLR)",  ,6,476.0,-,1.5,54.0,79.3,0.5,5,-,7.07,"Marcos RochaPalmeiras, 33, D(R),M(R)",  ,8(1),733.0,1,2.9,37.6,83.4,1.9,2.8,0.2,6.89,"VinaCeara, 31, M(CR),FW"
